Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1754918799,2025-08-11T13:26:39Z,UAE87Q,"47.461426,8.55842",0,0,278
1754918838,2025-08-11T13:27:18Z,UAE87Q,"47.461426,8.558649",0,2,281
1754918859,2025-08-11T13:27:39Z,UAE87Q,"47.461437,8.558949",0,2,292
1754918872,2025-08-11T13:27:52Z,UAE87Q,"47.461418,8.559174",0,3,306
1754918887,2025-08-11T13:28:07Z,UAE87Q,"47.461372,8.559431",0,2,323
1754918902,2025-08-11T13:28:22Z,UAE87Q,"47.461262,8.559635",0,3,340
1754918923,2025-08-11T13:28:43Z,UAE87Q,"47.46104,8.55974",0,2,343
1754918945,2025-08-11T13:29:05Z,UAE87Q,"47.460835,8.559757",0,2,334
1754918964,2025-08-11T13:29:24Z,UAE87Q,"47.460625,8.559811",0,2,320
1754918986,2025-08-11T13:29:46Z,UAE87Q,"47.460411,8.559963",0,2,303
1754919003,2025-08-11T13:30:03Z,UAE87Q,"47.460285,8.560169",0,3,289
1754919018,2025-08-11T13:30:18Z,UAE87Q,"47.460205,8.560374",0,3,281
1754919033,2025-08-11T13:30:33Z,UAE87Q,"47.460171,8.560603",0,3,281
1754919335,2025-08-11T13:35:35Z,UAE87Q,"47.460182,8.560339",0,5,275
1754919341,2025-08-11T13:35:41Z,UAE87Q,"47.460159,8.560118",0,6,270
1754919347,2025-08-11T13:35:47Z,UAE87Q,"47.460087,8.559899",0,7,255
1754919354,2025-08-11T13:35:54Z,UAE87Q,"47.459885,8.559706",0,8,230
1754919363,2025-08-11T13:36:03Z,UAE87Q,"47.459553,8.5596",0,9,202
1754919370,2025-08-11T13:36:10Z,UAE87Q,"47.459263,8.559494",0,9,196
1754919383,2025-08-11T13:36:23Z,UAE87Q,"47.458759,8.55923",0,9,199
1754919391,2025-08-11T13:36:31Z,UAE87Q,"47.458565,8.558966",0,7,216
1754919398,2025-08-11T13:36:38Z,UAE87Q,"47.458504,8.558614",0,8,241
1754919403,2025-08-11T13:36:43Z,UAE87Q,"47.458515,8.558332",0,8,258
1754919409,2025-08-11T13:36:49Z,UAE87Q,"47.458565,8.558015",0,9,272
1754919413,2025-08-11T13:36:53Z,UAE87Q,"47.458599,8.557698",0,11,275
1754919417,2025-08-11T13:36:57Z,UAE87Q,"47.458622,8.557451",0,12,275
1754919421,2025-08-11T13:37:01Z,UAE87Q,"47.458637,8.557148",0,13,275
1754919423,2025-08-11T13:37:03Z,UAE87Q,"47.45866,8.55689",0,14,275
1754919432,2025-08-11T13:37:12Z,UAE87Q,"47.458729,8.556015",0,16,275
1754919441,2025-08-11T13:37:21Z,UAE87Q,"47.458809,8.554969",0,18,275
1754919447,2025-08-11T13:37:27Z,UAE87Q,"47.458855,8.554107",0,19,275
1754919454,2025-08-11T13:37:34Z,UAE87Q,"47.458912,8.553268",0,19,275
1754919463,2025-08-11T13:37:43Z,UAE87Q,"47.458981,8.552187",0,13,275
1754919474,2025-08-11T13:37:54Z,UAE87Q,"47.459026,8.551414",0,10,275
1754919483,2025-08-11T13:38:03Z,UAE87Q,"47.459053,8.550973",0,9,275
1754919486,2025-08-11T13:38:06Z,UAE87Q,"47.459133,8.550673",0,10,286
1754919490,2025-08-11T13:38:10Z,UAE87Q,"47.459232,8.550436",0,12,295
1754919494,2025-08-11T13:38:14Z,UAE87Q,"47.459389,8.550145",0,13,303
1754919497,2025-08-11T13:38:17Z,UAE87Q,"47.459553,8.549933",0,14,312
1754919502,2025-08-11T13:38:22Z,UAE87Q,"47.459831,8.549687",0,15,326
1754919506,2025-08-11T13:38:26Z,UAE87Q,"47.460091,8.549543",0,16,334
1754919510,2025-08-11T13:38:30Z,UAE87Q,"47.460377,8.549337",0,17,334
1754919514,2025-08-11T13:38:34Z,UAE87Q,"47.460686,8.549131",0,17,334
1754919523,2025-08-11T13:38:43Z,UAE87Q,"47.461338,8.548668",0,15,334
1754919526,2025-08-11T13:38:46Z,UAE87Q,"47.461544,8.548525",0,15,334
1754919533,2025-08-11T13:38:53Z,UAE87Q,"47.461956,8.548222",0,13,334
1754919541,2025-08-11T13:39:01Z,UAE87Q,"47.462391,8.54793",0,15,334
1754919549,2025-08-11T13:39:09Z,UAE87Q,"47.46294,8.547535",0,17,334
1754919560,2025-08-11T13:39:20Z,UAE87Q,"47.463764,8.546958",0,19,334
1754919568,2025-08-11T13:39:28Z,UAE87Q,"47.464394,8.546522",0,16,334
