Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1755756508,2025-08-21T06:08:28Z,UAE2P,"25.255943,55.358875",0,5,101
1755756600,2025-08-21T06:10:00Z,UAE2P,"25.254881,55.360718",0,52,120
1755756647,2025-08-21T06:10:47Z,UAE2P,"25.240311,55.387012",650,171,121
1755756653,2025-08-21T06:10:53Z,UAE2P,"25.237839,55.391541",850,171,121
1755756661,2025-08-21T06:11:01Z,UAE2P,"25.234245,55.397781",1150,170,122
1755756669,2025-08-21T06:11:09Z,UAE2P,"25.230881,55.403595",1450,169,122
1755756677,2025-08-21T06:11:17Z,UAE2P,"25.227449,55.409599",1675,173,122
1755756686,2025-08-21T06:11:26Z,UAE2P,"25.223694,55.416004",1775,183,122
1755756694,2025-08-21T06:11:34Z,UAE2P,"25.219721,55.422813",1875,193,122
1755756700,2025-08-21T06:11:40Z,UAE2P,"25.216881,55.427631",1950,200,122
1755756706,2025-08-21T06:11:46Z,UAE2P,"25.213394,55.433094",2025,210,127
1755756708,2025-08-21T06:11:48Z,UAE2P,"25.211946,55.43494",2050,211,132
1755756710,2025-08-21T06:11:50Z,UAE2P,"25.210464,55.436504",2075,213,136
1755756712,2025-08-21T06:11:52Z,UAE2P,"25.208954,55.437977",2125,215,139
1755756714,2025-08-21T06:11:54Z,UAE2P,"25.207432,55.439293",2150,218,143
1755756717,2025-08-21T06:11:57Z,UAE2P,"25.205292,55.440876",2175,219,147
1755756719,2025-08-21T06:11:59Z,UAE2P,"25.203568,55.441936",2225,222,151
1755756721,2025-08-21T06:12:01Z,UAE2P,"25.201706,55.442921",2250,224,155
1755756723,2025-08-21T06:12:03Z,UAE2P,"25.199379,55.443905",2300,226,158
1755756725,2025-08-21T06:12:05Z,UAE2P,"25.197515,55.444527",2325,228,164
1755756727,2025-08-21T06:12:07Z,UAE2P,"25.195467,55.445045",2375,230,169
1755756729,2025-08-21T06:12:09Z,UAE2P,"25.192886,55.445454",2425,230,173
1755756731,2025-08-21T06:12:11Z,UAE2P,"25.190872,55.445557",2475,232,178
1755756733,2025-08-21T06:12:13Z,UAE2P,"25.188492,55.445507",2550,233,182
1755756735,2025-08-21T06:12:15Z,UAE2P,"25.18634,55.445251",2600,236,187
1755756738,2025-08-21T06:12:18Z,UAE2P,"25.183685,55.444691",2675,236,192
1755756740,2025-08-21T06:12:20Z,UAE2P,"25.18158,55.444031",2725,238,197
1755756742,2025-08-21T06:12:22Z,UAE2P,"25.17964,55.44318",2775,240,201
1755756744,2025-08-21T06:12:24Z,UAE2P,"25.177498,55.442142",2850,240,204
1755756746,2025-08-21T06:12:26Z,UAE2P,"25.175404,55.441002",2900,242,206
1755756748,2025-08-21T06:12:28Z,UAE2P,"25.173355,55.439861",2975,241,207
1755756750,2025-08-21T06:12:30Z,UAE2P,"25.171446,55.438721",3075,239,208
1755756752,2025-08-21T06:12:32Z,UAE2P,"25.169258,55.437374",3200,238,209
1755756754,2025-08-21T06:12:34Z,UAE2P,"25.167257,55.436131",3300,238,209
1755756756,2025-08-21T06:12:36Z,UAE2P,"25.165375,55.434925",3400,238,210
1755756758,2025-08-21T06:12:38Z,UAE2P,"25.163626,55.4338",3475,236,210
1755756760,2025-08-21T06:12:40Z,UAE2P,"25.161112,55.432194",3600,236,210
1755756762,2025-08-21T06:12:42Z,UAE2P,"25.159344,55.431",3675,236,211
1755756764,2025-08-21T06:12:44Z,UAE2P,"25.157621,55.42981",3725,238,212
1755756767,2025-08-21T06:12:47Z,UAE2P,"25.15567,55.428417",3800,239,214
1755756769,2025-08-21T06:12:49Z,UAE2P,"25.153944,55.42701",3825,241,217
1755756771,2025-08-21T06:12:51Z,UAE2P,"25.152054,55.425312",3875,242,221
1755756773,2025-08-21T06:12:53Z,UAE2P,"25.150406,55.423584",3925,243,224
1755756775,2025-08-21T06:12:55Z,UAE2P,"25.148804,55.4216",3950,246,229
1755756777,2025-08-21T06:12:57Z,UAE2P,"25.147385,55.419617",4000,248,233
1755756779,2025-08-21T06:12:59Z,UAE2P,"25.145983,55.417267",4050,250,236
1755756781,2025-08-21T06:13:01Z,UAE2P,"25.144867,55.415241",4050,254,240
1755756783,2025-08-21T06:13:03Z,UAE2P,"25.143539,55.412189",4100,255,245
1755756785,2025-08-21T06:13:05Z,UAE2P,"25.142677,55.409962",4125,257,248
1755756787,2025-08-21T06:13:07Z,UAE2P,"25.141886,55.407162",4150,260,253
1755756789,2025-08-21T06:13:09Z,UAE2P,"25.141233,55.404415",4200,262,256
1755756791,2025-08-21T06:13:11Z,UAE2P,"25.140768,55.401669",4225,264,259
1755756793,2025-08-21T06:13:13Z,UAE2P,"25.140472,55.398815",4275,267,264
1755756796,2025-08-21T06:13:16Z,UAE2P,"25.140396,55.396488",4300,269,268
1755756798,2025-08-21T06:13:18Z,UAE2P,"25.140427,55.393116",4350,271,271
1755756800,2025-08-21T06:13:20Z,UAE2P,"25.140535,55.391098",4375,274,274
1755756802,2025-08-21T06:13:22Z,UAE2P,"25.140768,55.387779",4425,274,275
1755756804,2025-08-21T06:13:24Z,UAE2P,"25.141068,55.385029",4500,275,276
1755756806,2025-08-21T06:13:26Z,UAE2P,"25.141375,55.381767",4575,276,276
1755756808,2025-08-21T06:13:28Z,UAE2P,"25.141607,55.379074",4650,276,276
1755756810,2025-08-21T06:13:30Z,UAE2P,"25.141937,55.375774",4725,277,276
1755756812,2025-08-21T06:13:32Z,UAE2P,"25.142118,55.373684",4775,278,276
1755756814,2025-08-21T06:13:34Z,UAE2P,"25.142441,55.370434",4825,279,276
1755756816,2025-08-21T06:13:36Z,UAE2P,"25.142807,55.367023",4900,280,276
