Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1756024726,2025-08-24T08:38:46Z,SWR8KW,"45.500576,12.339036",0,0,312
1756024810,2025-08-24T08:40:10Z,SWR8KW,"45.500446,12.339237",0,3,315
1756024828,2025-08-24T08:40:28Z,SWR8KW,"45.500301,12.339445",0,2,312
1756024843,2025-08-24T08:40:43Z,SWR8KW,"45.500145,12.339656",0,2,289
1756024863,2025-08-24T08:41:03Z,SWR8KW,"45.500084,12.339869",0,2,227
1756025143,2025-08-24T08:45:43Z,SWR8KW,"45.499878,12.339592",0,13,222
1756025151,2025-08-24T08:45:51Z,SWR8KW,"45.499447,12.339037",0,16,222
1756025156,2025-08-24T08:45:56Z,SWR8KW,"45.499088,12.338644",0,18,216
1756025160,2025-08-24T08:46:00Z,SWR8KW,"45.498802,12.338448",0,18,202
1756025163,2025-08-24T08:46:03Z,SWR8KW,"45.498573,12.338367",0,19,194
1756025165,2025-08-24T08:46:05Z,SWR8KW,"45.498356,12.338301",0,20,194
1756025168,2025-08-24T08:46:08Z,SWR8KW,"45.49807,12.338202",0,20,191
1756025171,2025-08-24T08:46:11Z,SWR8KW,"45.497829,12.338132",0,20,191
1756025173,2025-08-24T08:46:13Z,SWR8KW,"45.497612,12.338072",0,21,191
1756025175,2025-08-24T08:46:15Z,SWR8KW,"45.497383,12.33799",0,21,191
1756025178,2025-08-24T08:46:18Z,SWR8KW,"45.497154,12.337914",0,20,194
1756025180,2025-08-24T08:46:20Z,SWR8KW,"45.496944,12.33778",0,19,205
1756025184,2025-08-24T08:46:24Z,SWR8KW,"45.496719,12.337548",0,17,219
1756025187,2025-08-24T08:46:27Z,SWR8KW,"45.496536,12.337303",0,16,222
1756025190,2025-08-24T08:46:30Z,SWR8KW,"45.496342,12.33706",0,14,222
1756025195,2025-08-24T08:46:35Z,SWR8KW,"45.496101,12.336845",0,13,208
1756025202,2025-08-24T08:46:42Z,SWR8KW,"45.495827,12.336862",0,8,174
1756025268,2025-08-24T08:47:48Z,SWR8KW,"45.49556,12.337111",0,8,143
1756025273,2025-08-24T08:47:53Z,SWR8KW,"45.49538,12.337369",0,14,132
